Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Joseph Thomas,Nurse,010 Morning True,001 Evening False,011 Morning True,111 Night False,110 Night False,011 Evening False,011 Morning False,111 Morning False,110 Morning True,111 Night True,010 Morning False,010 Morning False,001 Evening False,111 Morning True
Oliver Ramirez,Doctor,111 Morning False,001 Evening True,111 Night True,101 Night False,010 Morning False,011 Evening False,011 Morning False,011 Evening False,001 Evening False,010 Morning True,110 Morning False,101 Night False,110 Night False,011 Morning True
Evelyn Taylor,Nurse,101 Evening True,111 Night False,101 Night False,011 Morning False,101 Evening True,100 Night False,100 Night True,001 Evening False,010 Morning False,011 Morning True,011 Evening False,011 Morning False,011 Evening False,111 Evening False
Oliver Garcia,Nurse,100 Night False,010 Morning False,100 Night False,001 Evening False,111 Evening False,011 Morning False,001 Evening False,111 Evening True,010 Morning False,111 Morning False,100 Night False,111 Night False,100 Night False,111 Night False
Ava Martinez,Admin,111 Morning False,111 Evening False,011 Evening True,101 Evening True,100 Night False,111 Morning True,111 Evening False,111 Evening False,111 Evening True,101 Evening False,111 Evening True,111 Night False,111 Morning False,101 Night False
Amelia King,Admin,111 Evening False,001 Evening True,011 Evening False,001 Evening False,110 Morning False,101 Evening False,101 Night True,100 Night False,010 Morning True,111 Evening False,101 Evening True,011 Morning False,110 Morning True,101 Evening False
William Clark,Nurse,010 Morning False,011 Morning False,111 Evening False,010 Morning False,001 Evening True,101 Evening False,111 Morning True,011 Evening False,001 Evening False,001 Evening False,101 Evening False,111 Evening False,111 Night False,101 Night False
Benjamin Jones,Doctor,001 Evening True,101 Night True,111 Evening True,111 Evening False,010 Morning False,111 Morning False,010 Morning False,100 Night False,001 Evening True,111 Morning False,100 Night False,010 Morning True,111 Morning False,010 Morning True
Dorothy Lewis,Admin,101 Evening False,110 Morning True,100 Night False,111 Night True,101 Evening False,111 Evening False,011 Morning True,111 Morning False,010 Morning False,110 Night True,111 Evening True,111 Morning False,100 Night False,100 Night True
Robert Clark,Doctor,001 Evening True,110 Morning True,001 Evening True,100 Night False,110 Night True,010 Morning False,100 Night True,111 Evening False,111 Evening False,111 Evening False,010 Morning False,111 Morning False,011 Morning False,001 Evening False
Susan Sanchez,Admin,110 Night False,111 Morning False,111 Night False,111 Evening False,111 Morning False,101 Evening True,010 Morning False,100 Night False,111 Night False,100 Night False,111 Evening True,011 Evening False,011 Morning False,001 Evening False
Barbara Williams,Admin,110 Morning False,001 Evening False,111 Evening False,111 Evening False,111 Night False,111 Evening False,010 Morning False,101 Night False,110 Morning False,111 Night False,111 Evening False,111 Evening False,100 Night False,111 Evening False
Dorothy Thomas,Doctor,111 Evening False,010 Morning False,100 Night True,010 Morning True,101 Night False,101 Evening True,001 Evening False,010 Morning False,010 Morning False,101 Night False,110 Night False,110 Night False,111 Night True,010 Morning True
Charlotte Moore,Doctor,111 Evening False,111 Night False,101 Night False,111 Morning True,111 Night False,111 Evening False,101 Evening False,111 Evening False,011 Morning False,111 Night False,011 Morning True,001 Evening False,111 Evening False,011 Morning False
Lisa Gonzalez,Admin,101 Night False,111 Evening False,101 Night False,111 Night True,101 Night False,101 Night True,110 Night False,111 Evening True,111 Evening False,111 Morning False,110 Night False,111 Morning False,110 Morning False,111 Night False
Jennifer Anderson,Nurse,010 Morning False,111 Morning True,110 Morning False,001 Evening False,100 Night True,111 Morning True,101 Night False,111 Evening False,101 Evening False,100 Night False,111 Evening True,111 Night False,011 Evening False,111 Evening False
Harper Martinez,Admin,111 Morning False,101 Night False,001 Evening True,111 Morning False,111 Morning False,111 Morning True,010 Morning False,011 Evening True,111 Morning False,010 Morning False,110 Morning False,101 Evening False,010 Morning False,011 Morning False
Mia Torres,Admin,010 Morning False,100 Night False,100 Night False,010 Morning False,111 Evening False,101 Evening True,111 Morning True,100 Night False,111 Morning True,110 Night False,100 Night False,111 Night True,001 Evening True,111 Morning False
Margaret Clark,Doctor,001 Evening False,110 Night True,111 Morning False,111 Morning False,111 Night False,101 Evening True,111 Morning True,001 Evening False,110 Night False,010 Morning False,010 Morning False,101 Night False,110 Night False,001 Evening False
William Ramirez,Doctor,110 Night False,001 Evening False,101 Evening False,110 Night True,001 Evening False,111 Morning True,111 Evening False,011 Evening False,100 Night False,100 Night False,101 Night True,011 Evening True,011 Morning True,111 Morning False
John Robinson,Admin,011 Morning False,101 Night False,100 Night False,010 Morning True,100 Night False,100 Night False,010 Morning False,101 Night False,111 Evening True,111 Morning True,001 Evening False,111 Night False,111 Evening False,111 Night False
Barbara Allen,Nurse,111 Night False,101 Night False,111 Evening False,101 Evening False,011 Evening True,011 Morning True,001 Evening False,101 Night False,101 Night False,010 Morning False,100 Night False,111 Evening False,010 Morning False,100 Night False
Oliver Davis,Doctor,011 Evening False,111 Night False,111 Evening False,001 Evening True,100 Night False,111 Night False,111 Morning False,011 Morning False,111 Night False,101 Evening False,110 Night True,001 Evening True,111 Night True,110 Morning True
Barbara Garcia,Doctor,111 Morning False,101 Evening False,001 Evening False,001 Evening False,111 Evening True,011 Evening False,111 Morning False,111 Evening True,001 Evening True,101 Evening True,111 Morning False,001 Evening False,111 Evening False,111 Evening False
Lisa Johnson,Nurse,001 Evening False,011 Evening True,111 Night False,100 Night False,111 Night False,010 Morning False,111 Night False,011 Morning False,111 Night False,010 Morning False,001 Evening False,111 Morning False,011 Morning True,101 Evening False
David Lopez,Doctor,011 Morning False,111 Night False,010 Morning False,010 Morning False,111 Morning False,111 Night False,011 Evening False,111 Evening True,101 Evening False,010 Morning True,100 Night True,111 Morning False,111 Night False,111 Night False
Elizabeth Moore,Doctor,101 Evening False,111 Evening False,111 Evening True,110 Night False,111 Evening False,100 Night False,100 Night False,001 Evening True,010 Morning True,001 Evening False,110 Night False,001 Evening True,111 Evening False,111 Evening False
Charlotte Robinson,Doctor,010 Morning False,111 Evening False,101 Night True,100 Night False,100 Night False,100 Night False,011 Evening False,111 Night False,100 Night True,110 Night False,010 Morning True,110 Morning False,111 Morning False,110 Night False
Olivia Thomas,Nurse,101 Night False,111 Morning False,111 Evening False,101 Evening False,111 Morning False,111 Night True,100 Night False,111 Night True,111 Morning False,011 Morning False,111 Evening False,100 Night False,001 Evening False,100 Night True
Alexander Davis,Doctor,110 Night True,011 Morning False,010 Morning True,100 Night False,111 Night True,101 Night False,100 Night False,101 Night True,010 Morning False,011 Morning True,011 Evening False,111 Evening False,010 Morning True,011 Morning True
Mary Moore,Nurse,101 Night False,100 Night False,011 Morning False,011 Evening False,110 Night False,110 Night True,101 Evening False,011 Evening False,111 Morning True,001 Evening False,101 Evening False,111 Night True,111 Evening True,010 Morning False
James Lopez,Nurse,001 Evening True,111 Night True,011 Evening True,011 Evening False,111 Morning True,101 Evening True,010 Morning False,111 Night False,101 Night False,111 Morning True,110 Night False,001 Evening False,101 Evening False,111 Morning False
John Jackson,Admin,110 Night False,111 Evening False,111 Morning False,111 Evening False,101 Evening False,011 Morning False,011 Morning False,100 Night False,010 Morning True,101 Evening False,100 Night False,111 Evening True,111 Evening True,010 Morning False
James Walker,Nurse,100 Night False,111 Night False,010 Morning False,111 Morning True,101 Night False,001 Evening False,111 Morning False,101 Night False,111 Evening False,001 Evening True,010 Morning False,001 Evening False,100 Night False,111 Night False
Lisa Lopez,Doctor,111 Night True,111 Morning False,111 Night False,100 Night False,100 Night False,100 Night False,001 Evening True,111 Night True,101 Night False,111 Evening False,111 Morning False,010 Morning False,110 Night False,101 Evening True
Amelia Johnson,Doctor,001 Evening False,111 Morning True,100 Night False,111 Evening False,010 Morning False,111 Night False,100 Night False,111 Night False,110 Morning False,100 Night False,011 Morning True,101 Evening False,111 Evening False,001 Evening True
Charlotte King,Admin,111 Night False,110 Morning False,111 Night False,111 Night False,010 Morning True,110 Night False,011 Evening False,011 Morning False,111 Morning True,011 Evening False,111 Morning False,111 Morning False,101 Night False,110 Morning True
Emma Clark,Admin,111 Morning True,111 Night False,110 Morning True,111 Night False,100 Night True,011 Evening True,010 Morning False,100 Night False,101 Night False,001 Evening False,111 Night False,101 Night False,101 Night True,110 Morning True
Linda Robinson,Nurse,111 Evening False,111 Evening False,110 Morning False,111 Evening False,100 Night False,100 Night True,110 Morning False,101 Night False,110 Night True,111 Night False,011 Evening False,101 Night False,101 Night True,111 Evening True
James Thomas,Doctor,011 Evening False,111 Morning False,111 Morning True,011 Evening False,110 Night True,001 Evening False,111 Night False,101 Night False,110 Morning False,111 Morning False,111 Morning True,100 Night False,110 Night False,010 Morning False
Liam Garcia,Nurse,111 Morning False,111 Morning False,010 Morning False,011 Evening False,110 Night True,111 Morning True,001 Evening True,011 Evening False,010 Morning False,111 Evening False,001 Evening False,010 Morning False,101 Night False,101 Night True
Richard Rodriguez,Nurse,010 Morning False,111 Morning False,010 Morning False,001 Evening False,001 Evening False,001 Evening False,101 Night False,011 Morning False,110 Night False,010 Morning True,111 Night False,110 Night False,001 Evening False,111 Night False
Joseph Jackson,Nurse,100 Night False,001 Evening False,110 Night True,010 Morning False,111 Evening True,010 Morning True,111 Evening False,100 Night False,111 Morning False,111 Night True,001 Evening False,011 Morning True,111 Night False,001 Evening True
Michael Jackson,Doctor,001 Evening False,111 Night False,110 Night False,100 Night False,101 Evening True,111 Night True,111 Morning False,011 Evening False,001 Evening False,111 Evening True,010 Morning False,110 Night False,010 Morning False,111 Morning False
James Young,Doctor,011 Evening False,111 Evening False,111 Morning False,101 Night False,101 Night False,111 Night False,010 Morning True,111 Night True,111 Morning True,101 Evening False,010 Morning False,010 Morning False,001 Evening True,111 Night True
Michael White,Doctor,100 Night True,101 Night False,010 Morning True,110 Morning True,101 Night False,111 Morning False,110 Night False,101 Evening False,110 Morning False,010 Morning False,001 Evening True,001 Evening False,111 Morning False,101 Night False
Oliver Hernandez,Admin,101 Evening False,110 Morning False,111 Night True,010 Morning True,101 Night False,011 Evening False,001 Evening True,110 Night False,110 Night False,010 Morning False,111 Night False,111 Morning False,001 Evening False,100 Night False
Barbara Jackson,Admin,111 Night False,101 Evening False,001 Evening True,011 Morning False,100 Night True,110 Night False,001 Evening False,101 Evening True,010 Morning False,110 Night False,010 Morning False,111 Night False,111 Morning False,111 Evening False
Evelyn Young,Admin,101 Evening True,011 Morning False,011 Evening False,111 Evening False,011 Evening False,011 Morning True,111 Morning False,100 Night False,010 Morning False,111 Night False,100 Night True,111 Evening False,010 Morning False,100 Night False
Isabella Moore,Doctor,011 Morning False,111 Morning False,010 Morning False,110 Morning False,100 Night False,110 Night False,111 Evening True,111 Morning False,100 Night False,111 Evening False,110 Night False,010 Morning False,100 Night False,111 Evening False
Benjamin Johnson,Admin,111 Evening False,111 Night False,011 Morning False,011 Evening False,111 Night False,100 Night True,111 Night False,101 Night False,100 Night False,111 Morning False,111 Night True,111 Night False,110 Night True,111 Morning True
Thomas Allen,Nurse,111 Evening False,111 Evening False,111 Morning False,101 Night True,110 Night False,101 Night False,010 Morning False,111 Night False,111 Morning False,001 Evening True,100 Night True,100 Night True,111 Evening False,111 Morning False
William Flores,Admin,111 Evening False,110 Night False,010 Morning False,101 Evening False,010 Morning False,111 Evening True,111 Morning False,010 Morning False,111 Morning False,111 Night True,111 Morning False,111 Morning True,001 Evening False,111 Morning False
Dorothy Allen,Nurse,011 Evening False,111 Morning False,100 Night True,100 Night False,111 Morning False,101 Night True,110 Night False,101 Evening False,011 Morning False,011 Evening False,111 Morning False,111 Night False,101 Evening False,111 Night False
John Wilson,Doctor,100 Night False,100 Night False,110 Morning False,100 Night True,111 Evening False,011 Evening False,010 Morning True,111 Morning False,111 Evening False,111 Night False,101 Night True,111 Night True,111 Night False,111 Evening False
Lucas Sanchez,Nurse,111 Evening False,101 Night False,111 Evening False,100 Night True,100 Night False,111 Morning False,011 Morning True,111 Evening False,011 Evening False,111 Morning False,010 Morning False,010 Morning False,111 Night False,001 Evening False
Barbara Scott,Nurse,001 Evening False,001 Evening False,101 Evening False,111 Evening False,011 Morning False,100 Night True,111 Evening False,011 Evening True,001 Evening False,111 Night False,001 Evening False,100 Night False,010 Morning False,110 Night False
William Thompson,Doctor,001 Evening True,001 Evening False,001 Evening True,001 Evening True,111 Morning False,101 Night False,010 Morning False,100 Night False,111 Morning False,001 Evening False,111 Evening True,010 Morning True,111 Evening False,011 Evening False
Oliver Gonzalez,Admin,011 Morning False,101 Evening False,001 Evening False,011 Morning False,011 Morning False,110 Morning False,111 Morning False,101 Evening True,100 Night False,111 Evening False,010 Morning True,100 Night False,011 Morning False,100 Night False
Emma Lopez,Admin,100 Night True,001 Evening True,111 Morning True,100 Night False,111 Evening False,111 Evening False,100 Night False,100 Night False,001 Evening False,111 Morning False,110 Morning False,100 Night False,001 Evening False,111 Evening False
Noah Harris,Nurse,011 Morning False,111 Morning False,111 Morning False,110 Morning False,111 Evening False,111 Morning False,101 Night False,111 Night False,111 Morning False,111 Evening False,100 Night False,111 Evening False,111 Morning False,110 Night False
Isabella Brown,Doctor,001 Evening True,001 Evening True,001 Evening False,110 Morning True,111 Night False,111 Evening False,001 Evening True,110 Night False,010 Morning False,110 Morning False,111 Night True,001 Evening False,111 Evening True,010 Morning True
Lisa Lee,Doctor,111 Evening False,111 Morning False,110 Morning False,001 Evening False,111 Morning False,010 Morning False,100 Night False,110 Night False,001 Evening True,010 Morning False,111 Evening False,100 Night False,111 Night False,111 Morning False
Michael Williams,Admin,011 Morning False,100 Night False,101 Night True,001 Evening False,010 Morning False,111 Morning False,010 Morning False,010 Morning False,111 Night False,100 Night False,101 Night False,111 Morning True,100 Night False,011 Morning False
Oliver Perez,Nurse,111 Night False,010 Morning False,011 Morning False,100 Night True,100 Night False,111 Morning False,110 Night False,011 Evening False,111 Evening False,100 Night False,111 Night True,111 Morning False,111 Morning True,010 Morning False
Olivia Lewis,Doctor,010 Morning False,010 Morning False,011 Evening False,100 Night False,001 Evening False,111 Morning False,010 Morning False,111 Night True,111 Evening False,010 Morning True,110 Morning False,011 Morning True,001 Evening False,111 Night False
Margaret Thomas,Doctor,110 Night False,101 Evening False,110 Morning False,010 Morning False,001 Evening True,111 Evening False,011 Evening False,010 Morning False,111 Night False,100 Night True,011 Morning False,011 Evening True,110 Night False,111 Evening False
Margaret Jackson,Doctor,111 Evening False,100 Night False,111 Evening False,111 Evening False,111 Morning True,001 Evening False,101 Night True,110 Night False,111 Evening False,110 Night True,111 Night False,010 Morning False,010 Morning True,111 Evening True
Sophia Clark,Nurse,100 Night False,001 Evening False,010 Morning False,010 Morning False,101 Night True,110 Morning True,100 Night False,110 Morning False,111 Evening True,100 Night False,011 Evening True,010 Morning False,111 Morning False,110 Morning False
Amelia Clark,Admin,110 Morning False,001 Evening False,100 Night False,100 Night False,111 Morning True,100 Night False,001 Evening False,010 Morning True,011 Evening False,111 Evening False,011 Evening False,111 Morning False,111 Morning False,011 Morning False
Alexander Martinez,Nurse,111 Evening False,100 Night False,011 Morning False,111 Evening False,111 Evening True,111 Evening True,110 Night True,111 Evening False,111 Evening False,101 Night False,111 Night False,101 Night True,010 Morning False,110 Night True
Isabella Jackson,Nurse,101 Night False,111 Morning False,110 Morning False,111 Morning False,011 Evening False,100 Night False,010 Morning True,011 Evening False,110 Morning False,111 Evening True,010 Morning False,101 Evening False,010 Morning False,011 Evening False
John Young,Nurse,010 Morning True,111 Morning False,101 Evening False,111 Evening True,101 Evening False,111 Night False,110 Morning False,010 Morning False,101 Night False,110 Night False,101 Night False,010 Morning True,111 Night True,001 Evening False
Sophia Thomas,Doctor,111 Night False,111 Morning False,001 Evening True,111 Evening False,111 Morning True,001 Evening False,110 Morning False,010 Morning False,111 Morning False,111 Morning False,010 Morning False,101 Evening False,111 Night False,101 Night False
Jennifer Davis,Admin,110 Night False,010 Morning False,101 Night False,100 Night False,111 Morning False,111 Night False,010 Morning False,011 Morning False,111 Evening False,010 Morning False,111 Evening True,111 Morning False,111 Evening False,110 Morning False
Alexander Lopez,Doctor,100 Night True,111 Morning True,111 Morning False,001 Evening False,111 Morning True,110 Night False,101 Evening True,011 Evening False,111 Night False,111 Morning True,010 Morning True,111 Night False,101 Night False,111 Evening False
Noah Lee,Admin,010 Morning True,111 Evening False,111 Morning False,111 Night False,101 Evening False,111 Night True,110 Night False,011 Morning True,010 Morning False,101 Evening True,110 Night False,110 Morning False,001 Evening False,001 Evening False
James Torres,Nurse,111 Morning False,011 Morning False,111 Morning False,001 Evening False,001 Evening False,111 Morning True,011 Morning False,010 Morning False,110 Morning True,101 Evening False,111 Night True,111 Night False,100 Night False,100 Night True
John Walker,Admin,011 Evening False,001 Evening False,111 Evening False,010 Morning False,111 Evening False,111 Evening False,110 Morning False,100 Night True,011 Evening True,100 Night True,010 Morning False,100 Night True,110 Morning False,111 Morning True
Amelia Miller,Doctor,111 Evening False,011 Morning True,010 Morning False,010 Morning False,010 Morning True,111 Morning False,011 Morning False,111 Evening True,111 Evening False,111 Night True,011 Morning False,111 Night False,011 Evening False,001 Evening False
Amelia Moore,Doctor,011 Morning False,011 Evening False,010 Morning False,101 Evening False,111 Night True,111 Night False,001 Evening False,101 Night False,010 Morning False,001 Evening True,110 Night False,111 Evening True,010 Morning False,010 Morning False
Olivia Garcia,Doctor,100 Night False,010 Morning False,111 Evening True,100 Night False,111 Night True,001 Evening True,111 Evening True,100 Night False,011 Morning True,111 Morning False,100 Night True,111 Evening False,111 Morning False,111 Evening True
Joseph King,Admin,111 Morning True,111 Morning False,101 Night False,111 Morning False,111 Night False,010 Morning False,011 Morning False,111 Evening True,110 Morning False,001 Evening True,010 Morning False,101 Evening True,111 Morning False,111 Night True
Lucas Williams,Nurse,010 Morning False,011 Morning True,001 Evening False,110 Morning True,101 Night False,111 Morning False,001 Evening True,111 Night True,110 Morning False,010 Morning False,101 Evening True,111 Evening False,110 Morning False,111 Evening False
