Name,Type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Next Monday,Next Tuesday,Next Wednesday,Next Thursday,Next Friday,Next Saturday,Next Sunday
Robert Hill,Admin,"['Night', 'Morning'] Morning False","['Evening', 'Night', 'Morning'] Morning False","['Morning', 'Night'] Night False",['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Night False",['Evening'] Evening True,"['Evening', 'Night', 'Morning'] Evening False",['Evening'] Evening False,['Morning'] Morning False,['Night'] Night False,"['Morning', 'Evening', 'Night'] Morning False","['Evening', 'Night'] Night False",['Morning'] Morning False,"['Morning', 'Night', 'Evening'] Night False"
Amelia Allen,Nurse,"['Night', 'Evening'] Night False","['Morning', 'Night'] Morning False","['Evening', 'Night', 'Morning'] Morning True",['Night'] Night False,"['Morning', 'Night', 'Evening'] Morning False","['Morning', 'Night', 'Evening'] Night True",['Morning'] Morning False,['Morning'] Morning False,"['Morning', 'Evening', 'Night'] Morning False","['Night', 'Evening'] Evening True",['Evening'] Evening True,['Evening'] Evening False,"['Evening', 'Morning'] Morning False",['Evening'] Evening False
Elizabeth Clark,Nurse,['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Night False","['Morning', 'Night', 'Evening'] Night False","['Night', 'Morning', 'Evening'] Morning False","['Evening', 'Night', 'Morning'] Night True","['Night', 'Evening', 'Morning'] Morning False","['Evening', 'Morning', 'Night'] Night False","['Morning', 'Evening', 'Night'] Night True",['Night'] Night False,"['Morning', 'Evening', 'Night'] Evening False","['Evening', 'Night'] Evening False","['Night', 'Evening'] Night False",['Evening'] Evening False,"['Morning', 'Evening'] Morning True"
Joseph Taylor,Doctor,['Night'] Night False,"['Night', 'Morning'] Night False",['Morning'] Morning True,"['Evening', 'Night'] Night True","['Morning', 'Evening'] Evening False",['Evening'] Evening False,['Night'] Night False,"['Morning', 'Evening'] Morning False","['Evening', 'Morning', 'Night'] Night True","['Evening', 'Night'] Night False",['Morning'] Morning False,"['Night', 'Morning', 'Evening'] Evening False",['Morning'] Morning True,['Evening'] Evening True
Michael Wright,Doctor,"['Night', 'Evening'] Evening False","['Morning', 'Evening', 'Night'] Night False","['Evening', 'Night'] Evening False",['Night'] Night False,['Night'] Night False,['Evening'] Evening True,"['Morning', 'Evening'] Morning False","['Evening', 'Night', 'Morning'] Night False","['Evening', 'Morning', 'Night'] Night False","['Evening', 'Night', 'Morning'] Morning False","['Night', 'Morning'] Morning False","['Night', 'Morning'] Morning False",['Night'] Night False,['Evening'] Evening False
David Sanchez,Admin,"['Evening', 'Morning'] Morning False","['Night', 'Evening'] Night False","['Evening', 'Night'] Evening False","['Evening', 'Morning'] Evening True",['Morning'] Morning True,"['Evening', 'Morning'] Evening False","['Evening', 'Night', 'Morning'] Evening False",['Evening'] Evening True,"['Morning', 'Evening', 'Night'] Evening False",['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Morning False",['Morning'] Morning True,['Morning'] Morning True,"['Morning', 'Night', 'Evening'] Evening False"
Elizabeth Miller,Admin,"['Morning', 'Night'] Morning False","['Night', 'Evening', 'Morning'] Night False","['Night', 'Evening'] Evening True","['Night', 'Evening', 'Morning'] Morning False","['Evening', 'Night', 'Morning'] Night False",['Night'] Night True,"['Morning', 'Evening'] Evening False","['Night', 'Evening'] Night False","['Morning', 'Evening'] Evening False",['Morning'] Morning False,['Morning'] Morning False,"['Night', 'Evening'] Evening False",['Night'] Night False,"['Night', 'Evening'] Evening False"
Charlotte Moore,Nurse,"['Night', 'Evening', 'Morning'] Morning False","['Morning', 'Night'] Night False","['Night', 'Morning'] Morning True","['Evening', 'Night', 'Morning'] Night False",['Morning'] Morning False,['Night'] Night False,"['Night', 'Morning'] Night False",['Night'] Night True,"['Evening', 'Morning', 'Night'] Morning False","['Evening', 'Morning'] Evening False",['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Night True","['Night', 'Morning'] Morning True","['Morning', 'Night', 'Evening'] Night False"
Lisa Thomas,Admin,"['Night', 'Morning'] Night False","['Morning', 'Night'] Morning False","['Evening', 'Morning', 'Night'] Night False","['Morning', 'Night'] Morning False","['Night', 'Morning', 'Evening'] Night False",['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Night False","['Night', 'Morning'] Night False","['Night', 'Morning', 'Evening'] Evening False","['Evening', 'Morning', 'Night'] Evening True","['Morning', 'Night'] Night False","['Night', 'Evening', 'Morning'] Evening False","['Morning', 'Evening', 'Night'] Night False",['Evening'] Evening False
Linda Sanchez,Admin,['Morning'] Morning False,"['Night', 'Morning', 'Evening'] Morning False","['Morning', 'Evening', 'Night'] Night False",['Night'] Night False,"['Evening', 'Night'] Evening True",['Evening'] Evening False,['Morning'] Morning False,"['Morning', 'Evening', 'Night'] Evening False","['Morning', 'Night', 'Evening'] Night False","['Morning', 'Night', 'Evening'] Night False","['Evening', 'Morning'] Morning False","['Morning', 'Night', 'Evening'] Morning False","['Morning', 'Evening', 'Night'] Night False","['Evening', 'Night'] Evening False"
Thomas Lewis,Admin,['Morning'] Morning False,"['Night', 'Evening', 'Morning'] Night False","['Evening', 'Morning'] Evening True","['Morning', 'Night', 'Evening'] Night False",['Evening'] Evening True,"['Evening', 'Night', 'Morning'] Morning True","['Evening', 'Morning'] Morning False","['Morning', 'Night'] Morning False","['Evening', 'Night', 'Morning'] Morning True",['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Evening False","['Morning', 'Night'] Morning False","['Evening', 'Morning'] Evening False",['Night'] Night False
Joseph Jackson,Doctor,"['Evening', 'Night'] Evening True","['Evening', 'Morning'] Morning False","['Evening', 'Night', 'Morning'] Night False","['Night', 'Evening'] Night False",['Night'] Night False,"['Evening', 'Morning'] Evening False","['Evening', 'Morning', 'Night'] Evening False","['Night', 'Evening', 'Morning'] Morning False",['Morning'] Morning False,"['Morning', 'Night', 'Evening'] Night False","['Night', 'Evening'] Evening False",['Evening'] Evening True,"['Night', 'Evening', 'Morning'] Morning False","['Evening', 'Night'] Evening False"
Evelyn Miller,Nurse,"['Night', 'Evening'] Night False","['Morning', 'Evening', 'Night'] Morning True",['Morning'] Morning True,['Evening'] Evening False,"['Night', 'Evening'] Evening False","['Night', 'Evening', 'Morning'] Night False","['Morning', 'Night', 'Evening'] Night True","['Night', 'Evening', 'Morning'] Morning False","['Night', 'Evening', 'Morning'] Night False",['Morning'] Morning False,"['Night', 'Evening', 'Morning'] Morning False","['Evening', 'Morning', 'Night'] Night False",['Morning'] Morning False,"['Evening', 'Night', 'Morning'] Morning False"
Charles Lee,Doctor,"['Evening', 'Night'] Night False",['Night'] Night False,"['Morning', 'Evening'] Morning False","['Night', 'Morning'] Night False","['Night', 'Morning'] Night True","['Morning', 'Night', 'Evening'] Night False",['Evening'] Evening False,"['Night', 'Morning', 'Evening'] Night True","['Night', 'Morning'] Night False",['Night'] Night True,"['Night', 'Evening'] Evening True",['Night'] Night False,"['Morning', 'Night', 'Evening'] Evening False",['Night'] Night False
Barbara Hill,Admin,"['Evening', 'Night'] Evening False",['Morning'] Morning False,"['Evening', 'Morning', 'Night'] Morning False","['Morning', 'Night'] Night False","['Morning', 'Night'] Morning False",['Night'] Night True,['Night'] Night False,['Night'] Night False,"['Morning', 'Evening', 'Night'] Morning True","['Night', 'Morning'] Morning False","['Night', 'Morning', 'Evening'] Evening False",['Morning'] Morning True,"['Evening', 'Morning', 'Night'] Night False","['Night', 'Morning', 'Evening'] Night False"
Benjamin Robinson,Doctor,['Morning'] Morning True,"['Night', 'Morning', 'Evening'] Morning False","['Night', 'Morning', 'Evening'] Morning False",['Evening'] Evening False,"['Evening', 'Morning'] Morning True","['Morning', 'Night'] Morning True","['Evening', 'Night'] Evening False",['Morning'] Morning False,"['Night', 'Morning'] Morning True",['Night'] Night False,"['Night', 'Morning', 'Evening'] Evening False",['Evening'] Evening False,"['Night', 'Evening'] Night False",['Night'] Night False
Lisa Lee,Doctor,"['Evening', 'Morning'] Evening False","['Morning', 'Evening'] Evening False",['Evening'] Evening False,['Evening'] Evening True,"['Evening', 'Morning', 'Night'] Night False","['Night', 'Evening', 'Morning'] Evening False",['Evening'] Evening False,['Night'] Night False,['Evening'] Evening False,['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Morning False",['Evening'] Evening False,"['Night', 'Morning', 'Evening'] Evening True",['Night'] Night False
Evelyn Thomas,Doctor,"['Evening', 'Night', 'Morning'] Morning False","['Morning', 'Evening', 'Night'] Morning True",['Morning'] Morning False,"['Evening', 'Morning'] Evening False","['Night', 'Morning', 'Evening'] Evening False","['Morning', 'Evening', 'Night'] Morning False",['Morning'] Morning False,"['Morning', 'Evening'] Morning False","['Night', 'Morning'] Morning False","['Morning', 'Evening', 'Night'] Night False","['Evening', 'Morning'] Morning False",['Night'] Night True,"['Night', 'Morning', 'Evening'] Evening True",['Evening'] Evening False
James Perez,Doctor,['Night'] Night True,"['Morning', 'Evening', 'Night'] Morning False","['Night', 'Evening'] Evening False",['Morning'] Morning False,['Morning'] Morning False,"['Night', 'Evening', 'Morning'] Morning False","['Evening', 'Night'] Night True",['Night'] Night False,"['Night', 'Morning', 'Evening'] Evening True","['Morning', 'Evening', 'Night'] Evening False",['Evening'] Evening False,['Evening'] Evening False,"['Evening', 'Morning'] Morning False","['Evening', 'Night'] Night False"
Lucas Walker,Admin,['Morning'] Morning False,"['Morning', 'Night'] Morning False","['Evening', 'Morning'] Morning False","['Morning', 'Evening', 'Night'] Evening False",['Night'] Night False,"['Evening', 'Night'] Evening False","['Evening', 'Night', 'Morning'] Morning True","['Night', 'Morning', 'Evening'] Evening False","['Night', 'Evening'] Evening True",['Night'] Night False,"['Evening', 'Night'] Evening False",['Evening'] Evening False,"['Morning', 'Night'] Morning True","['Night', 'Evening', 'Morning'] Morning False"
Evelyn Martin,Doctor,['Evening'] Evening True,"['Night', 'Evening'] Night False","['Night', 'Morning'] Night True",['Night'] Night False,['Evening'] Evening False,"['Night', 'Evening'] Evening False","['Evening', 'Morning'] Morning True",['Evening'] Evening False,['Night'] Night False,['Evening'] Evening False,"['Night', 'Morning', 'Evening'] Evening False","['Evening', 'Morning'] Morning True","['Evening', 'Night', 'Morning'] Morning False","['Morning', 'Night', 'Evening'] Evening True"
William Moore,Doctor,"['Morning', 'Night', 'Evening'] Morning False","['Evening', 'Night', 'Morning'] Night False","['Morning', 'Evening'] Evening False","['Evening', 'Morning'] Evening False",['Morning'] Morning False,"['Night', 'Morning', 'Evening'] Morning False","['Evening', 'Morning', 'Night'] Night False",['Night'] Night False,"['Night', 'Morning'] Night False",['Evening'] Evening False,"['Night', 'Evening'] Evening False","['Evening', 'Night'] Night False","['Evening', 'Morning'] Morning False",['Evening'] Evening False
Richard Jones,Doctor,"['Morning', 'Night', 'Evening'] Night False","['Evening', 'Morning', 'Night'] Night False",['Night'] Night False,['Evening'] Evening False,"['Evening', 'Night'] Evening False",['Night'] Night False,"['Evening', 'Morning'] Morning False","['Night', 'Morning'] Morning False","['Evening', 'Night', 'Morning'] Night False","['Night', 'Evening', 'Morning'] Night True","['Night', 'Morning', 'Evening'] Night False","['Morning', 'Night'] Morning False","['Night', 'Morning', 'Evening'] Morning True","['Evening', 'Night'] Evening False"
Susan White,Nurse,"['Evening', 'Night', 'Morning'] Morning True",['Night'] Night False,"['Morning', 'Evening'] Evening True","['Evening', 'Night', 'Morning'] Evening False","['Evening', 'Morning', 'Night'] Morning False","['Morning', 'Night', 'Evening'] Evening False","['Evening', 'Morning', 'Night'] Morning False",['Morning'] Morning False,"['Night', 'Morning'] Night False",['Morning'] Morning False,['Morning'] Morning False,['Night'] Night False,['Night'] Night False,"['Morning', 'Night'] Morning False"
Liam Johnson,Doctor,['Morning'] Morning True,['Evening'] Evening False,"['Morning', 'Night'] Night False",['Morning'] Morning True,"['Evening', 'Morning', 'Night'] Morning False","['Evening', 'Night', 'Morning'] Evening False","['Night', 'Morning', 'Evening'] Night False","['Morning', 'Evening', 'Night'] Night False",['Night'] Night False,"['Morning', 'Evening'] Evening False","['Evening', 'Morning', 'Night'] Evening False",['Morning'] Morning False,['Night'] Night False,['Morning'] Morning True
Evelyn Lewis,Admin,['Evening'] Evening False,"['Morning', 'Evening', 'Night'] Evening False",['Night'] Night True,['Night'] Night False,"['Morning', 'Night', 'Evening'] Evening False","['Morning', 'Evening', 'Night'] Morning False","['Morning', 'Evening', 'Night'] Night False","['Evening', 'Night'] Evening False","['Morning', 'Evening', 'Night'] Night True","['Evening', 'Morning'] Morning False","['Night', 'Morning', 'Evening'] Night False",['Morning'] Morning False,"['Morning', 'Evening', 'Night'] Night False","['Morning', 'Evening', 'Night'] Night False"
Charles Allen,Doctor,"['Morning', 'Evening'] Evening False",['Morning'] Morning True,['Morning'] Morning False,"['Morning', 'Evening', 'Night'] Morning False",['Night'] Night False,"['Morning', 'Evening'] Morning True","['Morning', 'Evening', 'Night'] Morning True",['Morning'] Morning False,"['Morning', 'Night'] Morning False","['Night', 'Evening', 'Morning'] Night False","['Evening', 'Night', 'Morning'] Night False","['Morning', 'Evening'] Morning False",['Night'] Night True,"['Evening', 'Night', 'Morning'] Night False"
Elijah Robinson,Doctor,['Night'] Night False,"['Evening', 'Morning', 'Night'] Morning False",['Evening'] Evening False,"['Morning', 'Evening'] Evening False","['Night', 'Evening', 'Morning'] Night True","['Evening', 'Morning'] Evening False",['Evening'] Evening True,['Evening'] Evening True,"['Evening', 'Night', 'Morning'] Morning False","['Evening', 'Night', 'Morning'] Night False",['Night'] Night False,['Morning'] Morning False,"['Morning', 'Evening', 'Night'] Evening False",['Night'] Night False
Sophia Lee,Admin,"['Morning', 'Night'] Morning True","['Morning', 'Night'] Night False",['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Morning False","['Morning', 'Evening', 'Night'] Morning False","['Morning', 'Night', 'Evening'] Night False","['Evening', 'Night', 'Morning'] Evening False","['Evening', 'Morning'] Evening False",['Evening'] Evening False,"['Night', 'Morning'] Night True","['Morning', 'Night', 'Evening'] Night False","['Evening', 'Night', 'Morning'] Morning False",['Evening'] Evening False,['Morning'] Morning False
Susan Jones,Admin,"['Morning', 'Evening', 'Night'] Morning False","['Evening', 'Night', 'Morning'] Morning False","['Night', 'Morning', 'Evening'] Night False",['Morning'] Morning False,['Evening'] Evening False,['Night'] Night False,"['Evening', 'Night'] Night True","['Evening', 'Night', 'Morning'] Night False","['Night', 'Morning'] Night False","['Morning', 'Night', 'Evening'] Morning True",['Night'] Night True,"['Night', 'Morning', 'Evening'] Morning True","['Evening', 'Night'] Evening False","['Morning', 'Night', 'Evening'] Evening True"
Barbara Ramirez,Admin,"['Morning', 'Evening', 'Night'] Evening False","['Morning', 'Night', 'Evening'] Evening False","['Morning', 'Night', 'Evening'] Morning False","['Night', 'Evening'] Evening True","['Morning', 'Night', 'Evening'] Night False","['Evening', 'Morning'] Morning False",['Morning'] Morning False,"['Evening', 'Night', 'Morning'] Evening False","['Night', 'Evening', 'Morning'] Night False",['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Morning True",['Evening'] Evening False,"['Night', 'Evening'] Evening False","['Morning', 'Night'] Morning True"
Evelyn White,Admin,"['Morning', 'Night'] Morning False",['Evening'] Evening False,['Morning'] Morning False,"['Morning', 'Night', 'Evening'] Evening False","['Evening', 'Morning', 'Night'] Morning False",['Morning'] Morning False,"['Evening', 'Night'] Night False","['Night', 'Morning'] Night True",['Evening'] Evening False,['Night'] Night False,"['Night', 'Evening', 'Morning'] Morning False","['Night', 'Morning', 'Evening'] Morning True","['Morning', 'Evening', 'Night'] Evening False","['Morning', 'Evening', 'Night'] Night False"
Emma Smith,Admin,"['Morning', 'Evening', 'Night'] Night False",['Night'] Night True,['Evening'] Evening False,['Morning'] Morning False,"['Night', 'Evening'] Night True","['Evening', 'Night'] Night False","['Night', 'Morning', 'Evening'] Morning False",['Evening'] Evening False,['Night'] Night False,['Morning'] Morning False,['Night'] Night False,"['Evening', 'Morning'] Morning False","['Evening', 'Morning'] Evening False",['Evening'] Evening False
Lucas White,Nurse,"['Evening', 'Morning'] Evening True","['Morning', 'Evening', 'Night'] Night False",['Morning'] Morning False,"['Night', 'Evening'] Evening False",['Night'] Night False,"['Morning', 'Evening', 'Night'] Evening True","['Morning', 'Evening'] Evening False","['Morning', 'Evening', 'Night'] Evening False","['Evening', 'Morning', 'Night'] Night False","['Morning', 'Evening', 'Night'] Morning False","['Evening', 'Morning', 'Night'] Night True",['Evening'] Evening False,"['Night', 'Morning'] Morning False",['Night'] Night False
Dorothy Harris,Nurse,['Evening'] Evening False,"['Evening', 'Night', 'Morning'] Night False","['Morning', 'Night'] Morning False","['Morning', 'Night', 'Evening'] Evening False",['Night'] Night True,['Morning'] Morning False,"['Evening', 'Night', 'Morning'] Evening True","['Night', 'Morning', 'Evening'] Morning False","['Morning', 'Evening', 'Night'] Morning False","['Evening', 'Night'] Night True","['Evening', 'Morning'] Morning True","['Evening', 'Night'] Night False","['Evening', 'Morning', 'Night'] Night True",['Night'] Night False
Lucas Jackson,Doctor,"['Night', 'Evening', 'Morning'] Evening True","['Evening', 'Night'] Evening False","['Evening', 'Morning'] Morning False",['Night'] Night True,"['Night', 'Morning', 'Evening'] Evening True","['Morning', 'Night'] Morning False","['Evening', 'Night'] Night False","['Morning', 'Night'] Night False","['Night', 'Morning'] Morning False","['Night', 'Evening'] Evening False","['Morning', 'Night', 'Evening'] Evening True","['Evening', 'Night', 'Morning'] Evening False",['Night'] Night False,"['Morning', 'Night'] Morning False"
Liam Garcia,Nurse,"['Night', 'Evening'] Night False",['Night'] Night False,"['Morning', 'Night'] Morning False","['Morning', 'Night', 'Evening'] Night True","['Night', 'Morning', 'Evening'] Night False",['Evening'] Evening False,"['Morning', 'Night', 'Evening'] Night False","['Evening', 'Night', 'Morning'] Morning False","['Night', 'Evening'] Night False","['Evening', 'Morning'] Morning False","['Morning', 'Evening'] Evening False","['Evening', 'Morning'] Morning False",['Morning'] Morning False,"['Morning', 'Evening', 'Night'] Evening False"
Sophia Nguyen,Nurse,"['Morning', 'Evening'] Morning False",['Evening'] Evening False,['Evening'] Evening False,"['Morning', 'Evening', 'Night'] Night True","['Morning', 'Night'] Night False",['Evening'] Evening True,"['Morning', 'Evening', 'Night'] Morning False","['Morning', 'Evening'] Evening False",['Night'] Night False,"['Night', 'Evening'] Night True","['Night', 'Morning', 'Evening'] Evening False",['Night'] Night False,"['Night', 'Evening'] Evening False","['Evening', 'Morning', 'Night'] Night True"
Mia Flores,Nurse,"['Morning', 'Evening'] Morning False","['Morning', 'Night', 'Evening'] Night True","['Night', 'Evening', 'Morning'] Evening False","['Morning', 'Evening'] Evening False",['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Evening False",['Evening'] Evening False,['Morning'] Morning False,['Night'] Night False,"['Morning', 'Night', 'Evening'] Morning False","['Morning', 'Night', 'Evening'] Evening False","['Night', 'Morning', 'Evening'] Evening True","['Night', 'Morning', 'Evening'] Night False","['Evening', 'Night'] Evening False"
Linda Walker,Nurse,"['Night', 'Evening'] Evening True",['Morning'] Morning True,"['Morning', 'Night'] Morning False","['Night', 'Evening', 'Morning'] Night False",['Evening'] Evening False,"['Evening', 'Morning', 'Night'] Night False","['Night', 'Evening'] Evening False","['Night', 'Evening', 'Morning'] Night False",['Night'] Night True,['Night'] Night True,"['Evening', 'Night'] Night False","['Evening', 'Night'] Night True","['Morning', 'Night'] Morning True","['Evening', 'Morning'] Morning True"
Michael Sanchez,Nurse,"['Morning', 'Evening', 'Night'] Morning False","['Night', 'Evening', 'Morning'] Morning False","['Evening', 'Night', 'Morning'] Night False","['Evening', 'Night', 'Morning'] Evening True",['Night'] Night False,"['Morning', 'Evening', 'Night'] Night False","['Morning', 'Night', 'Evening'] Evening False","['Morning', 'Evening', 'Night'] Morning True","['Evening', 'Morning'] Evening True","['Morning', 'Evening'] Evening True","['Evening', 'Night', 'Morning'] Morning True","['Night', 'Morning'] Morning True",['Evening'] Evening True,"['Evening', 'Night'] Night False"
Benjamin Rodriguez,Nurse,"['Evening', 'Morning', 'Night'] Night False","['Evening', 'Night', 'Morning'] Evening False","['Night', 'Morning', 'Evening'] Evening False","['Morning', 'Evening'] Evening True",['Evening'] Evening False,"['Evening', 'Night', 'Morning'] Evening False",['Night'] Night False,"['Evening', 'Morning', 'Night'] Night False",['Morning'] Morning False,"['Night', 'Morning', 'Evening'] Morning True","['Night', 'Evening'] Evening False","['Evening', 'Morning', 'Night'] Evening False",['Evening'] Evening False,['Night'] Night True
James Lewis,Doctor,"['Morning', 'Night', 'Evening'] Evening False","['Night', 'Morning', 'Evening'] Morning True","['Evening', 'Morning', 'Night'] Evening False",['Evening'] Evening False,"['Night', 'Evening'] Night False",['Morning'] Morning True,['Night'] Night False,"['Night', 'Evening'] Evening False",['Night'] Night True,['Morning'] Morning False,"['Morning', 'Evening', 'Night'] Evening False","['Evening', 'Night', 'Morning'] Night False","['Morning', 'Night', 'Evening'] Morning False",['Night'] Night False
Richard Johnson,Nurse,"['Night', 'Morning'] Night False","['Evening', 'Morning', 'Night'] Night True","['Evening', 'Night', 'Morning'] Night False","['Evening', 'Morning'] Evening False",['Morning'] Morning False,['Morning'] Morning False,"['Morning', 'Night'] Morning False","['Evening', 'Morning'] Morning False","['Night', 'Evening', 'Morning'] Morning False",['Night'] Night True,"['Morning', 'Evening'] Morning False",['Night'] Night True,['Evening'] Evening False,"['Morning', 'Evening', 'Night'] Evening False"
James Nguyen,Doctor,"['Evening', 'Morning'] Morning False",['Night'] Night False,['Night'] Night True,"['Morning', 'Night'] Night False","['Night', 'Morning'] Morning False","['Evening', 'Night', 'Morning'] Night True","['Night', 'Morning', 'Evening'] Night False","['Night', 'Morning'] Morning False","['Morning', 'Night', 'Evening'] Night False",['Night'] Night False,"['Morning', 'Evening'] Evening False","['Night', 'Evening', 'Morning'] Evening False","['Evening', 'Night'] Evening True","['Night', 'Morning'] Night False"
Elizabeth Sanchez,Nurse,"['Morning', 'Evening'] Morning False","['Morning', 'Night'] Morning False","['Night', 'Morning', 'Evening'] Morning False",['Morning'] Morning False,"['Evening', 'Morning', 'Night'] Night False","['Evening', 'Night', 'Morning'] Morning False","['Morning', 'Night', 'Evening'] Morning False","['Morning', 'Night', 'Evening'] Night False","['Morning', 'Evening'] Morning True","['Morning', 'Night', 'Evening'] Evening False",['Night'] Night True,"['Morning', 'Night'] Morning False","['Morning', 'Night', 'Evening'] Morning False","['Night', 'Morning', 'Evening'] Morning False"
